Restaurants ,location,Notes,Reservation,Stars,Price Point,Has Kelsey been?,TikTok/ IG Reels,Links: ,

Playwright,Southie,Mimosatowers,Yes,☆☆☆☆,$$,TRUE,,https://www.theplaywrightbar.com/,
Capo,Southie,Mimosa flights,Yes,☆☆☆☆,$$,TRUE,,https://www.caposouthboston.com/,
Lincoln,Southie,,Yes,☆☆☆☆,$$,TRUE,,https://www.lincolnsouthboston.com/,
North Street Grille,North end ,,Yes,☆☆☆☆,$$,TRUE,,https://bestbrunchboston.com/,
Parla ,North end ,,,☆☆☆☆,$$,TRUE,,https://www.parlaboston.com/,
Rochambeau,Back Bay ,,Yes,☆☆☆☆,$$,TRUE,,https://www.rochambeauboston.com/,
Friendly Toast,Back Bay ,,Yes,☆☆☆☆,$$,TRUE,,https://thefriendlytoast.com/,
Trident Books Cafe,Newbury,In a bookstore,Yes,☆☆☆☆,$$,TRUE,,https://www.tridentbookscafe.com/,
Committee,Seaport,,Yes,☆☆☆☆,$$$,FALSE,,https://committeeboston.com/?utm_source=google&utm_medium=organic&utm_campaign=Google_My_Business,
Aquitaine,South end ,,Yes,☆☆☆☆,$$,TRUE,,https://www.aquitaineboston.com/,
The Beehive,South end ,,,☆☆☆☆,$$,TRUE,,https://www.beehiveboston.com/,
Milkweed,Mission Hill,,No,☆☆☆☆,$$,TRUE,,https://www.eatatmilkweed.com/,
The Dial,Cambridge,,,☆☆☆☆,,FALSE,,https://www.thedialcentralsq.com/,
Source ,Cambridge,,,☆☆☆☆,$$,FALSE,,https://sourcerestaurants.com/,
"Grana at The Langham, Boston",Financial District,Upscale,Yes,☆☆☆☆,,FALSE,,https://www.langhamhotels.com/en/the-langham/boston/dining/grana/,
The Paramount,Beacon Hill,,No,☆☆☆☆,$$,TRUE,,https://www.paramountboston.com,
Bowery Bar,Dorchester,Outdoor patio for summer,,☆☆☆☆,$$,FALSE,,https://www.bowery-bar.com/,
Little Luna Cafe,Cambridge,,,☆☆☆☆,,FALSE,,https://www.littlelunacafe.com/ ,
Broadway,Southie,Mimosa towers,Yes,☆☆☆☆,$$,TRUE, ,https://www.thebroadwaysouthboston.com/,
