Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews
Bell in Hand,Pub,Faneuil hall ,,No, Yes,,,https://thebellinhand.com/,
Ned Devine's,Pub,Faneuil hall ,,, Yes,,,https://neddevinesboston.com/,
Wild Rover,Bar,Faneuil hall ,,No, Yes,,,https://www.wildroverboston.com/,
White Bull,Tavern,Faneuil hall ,,, Yes,,,https://www.thewhitebulltavern.com/,
Sissy K's,Bar,Faneuil hall ,,No, Yes,,,https://www.sissyks.com/,
The Grand,Nightclub,Seaport,, Yes,Yes,,,https://thegrandboston.com/,
Scorpion bar,Night Club (ish),Seaport,, Yes,Yes ,,,https://www.scorpionboston.com/,
Alibi,Bar,West End,,,,,,https://www.alibiboston.com/,
The Harp,Sports Bar,West End,,No,Yes,,,https://harpboston.com/,
Causeway,Sports Bar,West End,,No,Yes,,,https://www.causewayboston.com/,
The Greatest bar,Sports Bar,West End,,No,Yes,,,https://thegreatestbar.com/,
West End Johnnies,Sports Bar,West End,,No,Yes,,,https://www.westendjohnnies.com/,
Bodega Canal,Bar,West End,,No,Yes,,,https://www.bodegacanal.com/,
Sullivans ,Bar,West End,,,,,,https://www.sullivanstapboston.com/ ,
Scholars,Bar,Downtown ,,,No,,,https://www.scholarsbostonbistro.com/,
Nash bar & Stage,Bar,Downtown ,,,,,,https://www.nashbarboston.com/,
Mariel underground,Nightclub,Downtown ,,Yes,No,,,https://www.marielunderground.com/,
Royale,Nightclub,Downtown ,,Yes,Yes,,,https://royaleboston.com/,
Hava,Nightclub,Downtown ,,,Yes,,,https://www.havaboston.com/,
Bijou,Nightclub,Downtown ,,Yes,Yes,,,https://www.bijouboston.com/,
Howl at the moon / Down,Night Club (ish),Downtown ,,,,,,https://www.howlatthemoon.com/down-boston/,
Venu,Nightclub,Back Bay,,Yes,Yes,,,https://www.venuboston.com/,
Icon,Nightclub,Back Bay,,,,,,https://www.iconnightclub.com/,
Memoire,Nightclub,Encore,,,Yes,,,http://memoireboston.com/,
Lincoln,Bar,Southie,,No,,,,https://www.lincolnsouthboston.com/,
Broadway,Bar,Southie,,No,,,,https://www.thebroadwaysouthboston.com/,
Capo,Bar,Southie,,No,,,,https://www.caposouthboston.com/,
Stats,Sports Bar,Southie,,No,,,,https://www.statsboston.com/,
Playwright,Bar,Southie,,No,,,,https://www.theplaywrightbar.com/,
Loco,Bar,Southie,,No,,,,https://locosouthboston.com/,
Game on,Sports Bar,Fenway,,,,,,https://www.gameonboston.com/,
Loretta's Last call,Bar,Fenway,,,,,,https://www.lorettaslastcall.com/,
HAN,Nightclub,Allston,,,,,,https://www.hanboston.com,
