Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews,Business Hours,Number of Reviews
Lolita,Mexican,Back Bay/Seaport,Yes,,,$$-$$$,5,https://www.lolitamexican.com/,,,0
Contessa ,Italian,Back Bay,Yes,,,$$$$,,https://www.contessatrattoria.com/,,,0
Citrus and Salt,Mexican,Back Bay ,Yes,,,$$-$$$,,https://www.citrusandsaltboston.com/,,,0
Saltie Girl,Seafood,Back Bay,Yes,,,$$$,,https://www.saltiegirl.com/,,,0
Krasi,Greek,Back Bay,Yes,,,$$$,,https://krasiboston.com/,,,0
Zuma,Japanese,Back Bay Four Seasons,Yes,,,$$$$,,https://zumarestaurant.com/,,,0
Grill 23 & Bar ,Steakhouse,Back Bay,Yes,,,$$$$,,https://grill23.com/,,,0
Buttermilk & Bourbon,American Southern,Back Bay,,,,$$-$$$,,https://www.buttermilkbourbon.com/,,,0
Ramsay's Kitchen by Gordon Ramsay,British American,Back Bay,,,,$$$,,https://www.gordonramsayrestaurants.com/en/us/ramsays-kitchen,,,0
La Padrona,Italian,Back Bay Raffles Boston,,,,,,https://www.raffles.com/boston/dining/la-padrona/,,,0
Shore Leave,Tiki Asian Fusion,Back Bay,Yes,,,$$-$$$,,https://www.shoreleaveboston.com,,,0
Cafe Sauvage,French,Back Bay,,,,$$-$$$,,https://www.cafesauvage.com/,,,0
Douzo,Japanese,Back Bay,,,,$$-$$$,,https://douzosushi.com/,,,0
Deuxave,French,Back Bay,,,,$$$$,,https://www.deuxave.com/,,,0
Salty Pig ,Italian Pizza,Back Bay,,,,$$-$$$,,https://www.thesaltypig.com/,,,0
Select Oyster Bar,Seafood,Back Bay,,,,$$$,,http://www.selectboston.com/,,,0
NEW: D16,Cocktail bar,Back Bay,,,,,,https://www.d16boston.com/,,,0
Sorellina,Italian,Back Bay,,,,,,https://sorellinaboston.com/ ,,,0
Abe & Louie's,Steakhouse,Back Bay,,,,,,https://abeandlouies.com/,,,0
The Street Bar,American,Newbury,,,,,,https://www.thenewburyboston.com/dine/street-bar,,,0
Crazy Good Kitchen,American,Newbury,No,,,$$$,,https://www.crazygoodkitchen.com/,,,0
Eva,Mediterranean,Newbury,,,,$$-$$$,,https://www.evaboston.com,,,0
Faccia a Faccia,Italian,Newbury,Yes,,,$$$,,https://facciaafacciaboston.com,,,0
Puro ceviche,Peruvian Seafood,Newbury,,,,$$-$$$,,https://www.purocevichebar.com/,,,0
Thai Basil,Thai,Newbury,,,,,,https://www.thaibasilma.com/,,,0
