Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews
Long Bar,Rooftop,Back Bay,yes,,,,,https://www.raffles.com/boston/dining/long-bar-and-terrace/,
Legal Harborside Rooftop,Rooftop,Seaport,yes,,,,,https://www.legalseafoods.com/locations/boston-harborside/,
Cisco Brewery,Beer garden,Seaport,,,,,,https://www.bostonseaport.xyz/venue/cisco-brewers/,
Deck 12 (Yotel),Rooftop,Seaport,yes,,,,,https://www.deck12bos.com/,
Lookout,Rooftop,Seaport,yes,,,,,https://www.theenvoyhotel.com/dining/lookout-rooftop-and-bar,
Lifted Pool Bar,Pool bar,Seaport,,,,,,https://www.omnihotels.com/hotels/boston-seaport/dining/lifted-pool-bar,
The Lawn on D,,Seaport,no,,,,,https://www.signatureboston.com/lawn-on-d,
Tall Ship,,East Boston,,,,,,https://www.tallshipboston.com/,
Reel House,,East Boston,yes,,,,,https://www.reelhouseboston.com/,
The Landing,,Long Wharf,no,,,,,,
Six West,Rooftop ,Southie,yes,,,,,https://www.sixwestbroad.com/,
Pier 6,,Charlestown,yes,,,,,https://www.pier6boston.com/,
The Anchor,Beer garden,Charlestown,,,,,,https://theanchorboston.com/,
Over the Charles,Rooftop,Cambridge,yes,,,,,https://instagram.com/otcrooftop?igshid=MWI4MTIyMDE=,
